REGION,SUBREGION,COUNTRY,DS,ORGCD,Total Sum of Count
Africa,Northern Africa,Western Sahara,Laayoune,UNHCR,12
Africa,Northern Africa,Western Sahara,Laayoune,UNOPS,2
Africa,Sub-Saharan Africa,Angola,Benguela,UNDP,1
Africa,Sub-Saharan Africa,Angola,Dundo,UNHCR,15
Africa,Sub-Saharan Africa,Angola,Kuito,UNICEF,1
Africa,Sub-Saharan Africa,Angola,Luanda,FAO,9
Africa,Sub-Saharan Africa,Angola,Luanda,ICAO,1
Africa,Sub-Saharan Africa,Angola,Luanda,IFAD,1
Africa,Sub-Saharan Africa,Angola,Luanda,ILO,2
Africa,Sub-Saharan Africa,Angola,Luanda,UN,13
Africa,Sub-Saharan Africa,Angola,Luanda,UNAIDS,6
Africa,Sub-Saharan Africa,Angola,Luanda,UNDP,27
Africa,Sub-Saharan Africa,Angola,Luanda,UNESCO,3
Africa,Sub-Saharan Africa,Angola,Luanda,UNFPA,13
Africa,Sub-Saharan Africa,Angola,Luanda,UNHCR,17
Africa,Sub-Saharan Africa,Angola,Luanda,UNICEF,51
Africa,Sub-Saharan Africa,Angola,Luanda,WFP,2
Africa,Sub-Saharan Africa,Angola,Luanda,WHO,43
Africa,Sub-Saharan Africa,Angola,Lubango,UNICEF,2
Africa,Sub-Saharan Africa,Angola,Uige,UNICEF,2
Africa,Sub-Saharan Africa,Benin,Cotonou,FAO,7
Africa,Sub-Saharan Africa,Benin,Cotonou,IOM,5
Africa,Sub-Saharan Africa,Benin,Cotonou,UN,8
Africa,Sub-Saharan Africa,Benin,Cotonou,UNAIDS,5
Africa,Sub-Saharan Africa,Benin,Cotonou,UNDP,38
Africa,Sub-Saharan Africa,Benin,Cotonou,UNESCO,1
Africa,Sub-Saharan Africa,Benin,Cotonou,UNFPA,26
Africa,Sub-Saharan Africa,Benin,Cotonou,UNHCR,1
Africa,Sub-Saharan Africa,Benin,Cotonou,UNICEF,67
Africa,Sub-Saharan Africa,Benin,Cotonou,UPU,1
Africa,Sub-Saharan Africa,Benin,Cotonou,WFP,28
Africa,Sub-Saharan Africa,Benin,Cotonou,WHO,27
Africa,Sub-Saharan Africa,Benin,Other,WFP,1
Africa,Sub-Saharan Africa,Benin,Parakou,UNICEF,11
Africa,Sub-Saharan Africa,Botswana,Dukwi,UNHCR,1
Africa,Sub-Saharan Africa,Botswana,Gaborone,FAO,4
Africa,Sub-Saharan Africa,Botswana,Gaborone,UN,10
Africa,Sub-Saharan Africa,Botswana,Gaborone,UNAIDS,6
Africa,Sub-Saharan Africa,Botswana,Gaborone,UNDP,19
Africa,Sub-Saharan Africa,Botswana,Gaborone,UNESCO,1
Africa,Sub-Saharan Africa,Botswana,Gaborone,UNFPA,7
Africa,Sub-Saharan Africa,Botswana,Gaborone,UNICEF,22
Africa,Sub-Saharan Africa,Botswana,Gaborone,WHO,13
Africa,Sub-Saharan Africa,Burkina Faso,Bobo-Dioulasso,UNDP,1
Africa,Sub-Saharan Africa,Burkina Faso,Bobo-Dioulasso,UNHCR,9
Africa,Sub-Saharan Africa,Burkina Faso,Djibo,UNDP,1
Africa,Sub-Saharan Africa,Burkina Faso,Dori,UN,3
Africa,Sub-Saharan Africa,Burkina Faso,Dori,UNDP,1
Africa,Sub-Saharan Africa,Burkina Faso,Dori,UNHCR,27
Africa,Sub-Saharan Africa,Burkina Faso,Dori,UNICEF,13
Africa,Sub-Saharan Africa,Burkina Faso,Dori,WFP,3
Africa,Sub-Saharan Africa,Burkina Faso,Fada Ngourma,UNHCR,2
Africa,Sub-Saharan Africa,Burkina Faso,Fada Ngourma,UNICEF,9
Africa,Sub-Saharan Africa,Burkina Faso,Kaya,UN,2
Africa,Sub-Saharan Africa,Burkina Faso,Kaya,UNHCR,29
Africa,Sub-Saharan Africa,Burkina Faso,Kaya,UNICEF,2
Africa,Sub-Saharan Africa,Burkina Faso,Kaya,WFP,1
Africa,Sub-Saharan Africa,Burkina Faso,Other,WFP,2
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,FAO,11
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,IFAD,2
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,ILO,7
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,IOM,10
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,ITC,1
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,UN,40
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,UNAIDS,4
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,UNDP,44
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,UNESCO,2
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,UNFPA,25
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,UNHCR,63
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,UNICEF,100
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,WFP,74
Africa,Sub-Saharan Africa,Burkina Faso,Ouagadougou,WHO,79
Africa,Sub-Saharan Africa,Burkina Faso,Ouahigouya,UN,2
Africa,Sub-Saharan Africa,Burkina Faso,Ouahigouya,UNDP,1
Africa,Sub-Saharan Africa,Burkina Faso,Ouahigouya,UNHCR,11
Africa,Sub-Saharan Africa,Burkina Faso,Tenkodogo,IOM,2
Africa,Sub-Saharan Africa,Burundi,Bujumbura,FAO,7
Africa,Sub-Saharan Africa,Burundi,Bujumbura,IFAD,1
Africa,Sub-Saharan Africa,Burundi,Bujumbura,ILO,1
Africa,Sub-Saharan Africa,Burundi,Bujumbura,IOM,84
Africa,Sub-Saharan Africa,Burundi,Bujumbura,UN,27
Africa,Sub-Saharan Africa,Burundi,Bujumbura,UN WOMEN,5
Africa,Sub-Saharan Africa,Burundi,Bujumbura,UNAIDS,4
Africa,Sub-Saharan Africa,Burundi,Bujumbura,UNDP,56
Africa,Sub-Saharan Africa,Burundi,Bujumbura,UNESCO,1
Africa,Sub-Saharan Africa,Burundi,Bujumbura,UNFPA,22
Africa,Sub-Saharan Africa,Burundi,Bujumbura,UNHCR,46
Africa,Sub-Saharan Africa,Burundi,Bujumbura,UNICEF,86
Africa,Sub-Saharan Africa,Burundi,Bujumbura,WFP,66
Africa,Sub-Saharan Africa,Burundi,Bujumbura,WHO,31
Africa,Sub-Saharan Africa,Burundi,Gitega,IOM,2
Africa,Sub-Saharan Africa,Burundi,Gitega,UNDP,1
Africa,Sub-Saharan Africa,Burundi,Gitega,WFP,12
Africa,Sub-Saharan Africa,Burundi,Makamba,UNDP,1
Africa,Sub-Saharan Africa,Burundi,Makamba,UNHCR,14
Africa,Sub-Saharan Africa,Burundi,Makamba,UNICEF,2
Africa,Sub-Saharan Africa,Burundi,Muyinga,IOM,1
Africa,Sub-Saharan Africa,Burundi,Muyinga,UNHCR,17
Africa,Sub-Saharan Africa,Burundi,Ngozi,UNDP,1
Africa,Sub-Saharan Africa,Burundi,Ngozi,UNICEF,1
Africa,Sub-Saharan Africa,Burundi,Ngozi,WFP,26
Africa,Sub-Saharan Africa,Burundi,Ruyigi,UNDP,1
Africa,Sub-Saharan Africa,Burundi,Ruyigi,UNHCR,25
Africa,Sub-Saharan Africa,Cameroon,Bamenda,ILO,1
Africa,Sub-Saharan Africa,Cameroon,Bamenda,UN,6
Africa,Sub-Saharan Africa,Cameroon,Bamenda,UNDP,1
Africa,Sub-Saharan Africa,Cameroon,Bamenda,UNFPA,2
Africa,Sub-Saharan Africa,Cameroon,Bamenda,UNHCR,15
Africa,Sub-Saharan Africa,Cameroon,Bamenda,WFP,4
Africa,Sub-Saharan Africa,Cameroon,Batouri,UNHCR,16
Africa,Sub-Saharan Africa,Cameroon,Batouri,WFP,5
Africa,Sub-Saharan Africa,Cameroon,Bertoua,ILO,6
Africa,Sub-Saharan Africa,Cameroon,Bertoua,UNHCR,17
Africa,Sub-Saharan Africa,Cameroon,Bertoua,UNICEF,13
Africa,Sub-Saharan Africa,Cameroon,Bertoua,WFP,13
Africa,Sub-Saharan Africa,Cameroon,Buea,UN,6
Africa,Sub-Saharan Africa,Cameroon,Buea,UNDP,1
Africa,Sub-Saharan Africa,Cameroon,Buea,UNFPA,2
Africa,Sub-Saharan Africa,Cameroon,Buea,UNHCR,14
Africa,Sub-Saharan Africa,Cameroon,Buea,UNICEF,3
Africa,Sub-Saharan Africa,Cameroon,Buea,WFP,1
Africa,Sub-Saharan Africa,Cameroon,Djohung,UNHCR,10
Africa,Sub-Saharan Africa,Cameroon,Douala,UN,2
Africa,Sub-Saharan Africa,Cameroon,Douala,UNDP,1
Africa,Sub-Saharan Africa,Cameroon,Douala,UNHCR,14
Africa,Sub-Saharan Africa,Cameroon,Douala,UNICEF,2
Africa,Sub-Saharan Africa,Cameroon,Douala,WFP,15
Africa,Sub-Saharan Africa,Cameroon,Kousseri,UN,1
Africa,Sub-Saharan Africa,Cameroon,Kousseri,UNHCR,4
Africa,Sub-Saharan Africa,Cameroon,Kousseri,WFP,4
Africa,Sub-Saharan Africa,Cameroon,Maroua,ILO,2
Africa,Sub-Saharan Africa,Cameroon,Maroua,IOM,1
Africa,Sub-Saharan Africa,Cameroon,Maroua,UN,5
Africa,Sub-Saharan Africa,Cameroon,Maroua,UNDP,2
Africa,Sub-Saharan Africa,Cameroon,Maroua,UNFPA,2
Africa,Sub-Saharan Africa,Cameroon,Maroua,UNHCR,29
Africa,Sub-Saharan Africa,Cameroon,Maroua,UNICEF,13
Africa,Sub-Saharan Africa,Cameroon,Maroua,WFP,21
Africa,Sub-Saharan Africa,Cameroon,Maroua,WHO,2
Africa,Sub-Saharan Africa,Cameroon,Meiganga,UNHCR,22
Africa,Sub-Saharan Africa,Cameroon,Meiganga,WFP,5
Africa,Sub-Saharan Africa,Cameroon,Ngaoundere,WFP,7
Africa,Sub-Saharan Africa,Cameroon,Touboro,UNHCR,7
Africa,Sub-Saharan Africa,Cameroon,Yaounde,FAO,9
Africa,Sub-Saharan Africa,Cameroon,Yaounde,IFAD,10
Africa,Sub-Saharan Africa,Cameroon,Yaounde,ILO,25
Africa,Sub-Saharan Africa,Cameroon,Yaounde,IOM,4
Africa,Sub-Saharan Africa,Cameroon,Yaounde,ITU,3
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UN,68
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UN WOMEN,4
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UNAIDS,5
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UNDP,42
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UNESCO,20
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UNFPA,22
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UNHCR,58
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UNICEF,83
Africa,Sub-Saharan Africa,Cameroon,Yaounde,UNIDO,3
Africa,Sub-Saharan Africa,Cameroon,Yaounde,WFP,53
Africa,Sub-Saharan Africa,Cameroon,Yaounde,WHO,24
Africa,Sub-Saharan Africa,Cape Verde,Praia,FAO,4
Africa,Sub-Saharan Africa,Cape Verde,Praia,ILO,4
Africa,Sub-Saharan Africa,Cape Verde,Praia,IOM,1
Africa,Sub-Saharan Africa,Cape Verde,Praia,UN,7
Africa,Sub-Saharan Africa,Cape Verde,Praia,UNDP,34
Africa,Sub-Saharan Africa,Cape Verde,Praia,WHO,9
Africa,Sub-Saharan Africa,Central African Republic,Bambari,UN,50
Africa,Sub-Saharan Africa,Central African Republic,Bambari,UNDP,1
Africa,Sub-Saharan Africa,Central African Republic,Bambari,UNHCR,11
Africa,Sub-Saharan Africa,Central African Republic,Bambari,UNICEF,11
Africa,Sub-Saharan Africa,Central African Republic,Bambari,WFP,7
Africa,Sub-Saharan Africa,Central African Republic,Bambari,WHO,1
Africa,Sub-Saharan Africa,Central African Republic,Bangassou,UN,26
Africa,Sub-Saharan Africa,Central African Republic,Bangassou,UNHCR,1
Africa,Sub-Saharan Africa,Central African Republic,Bangassou,WFP,1
Africa,Sub-Saharan Africa,Central African Republic,Bangui,FAO,7
Africa,Sub-Saharan Africa,Central African Republic,Bangui,IOM,2
Africa,Sub-Saharan Africa,Central African Republic,Bangui,ITC,1
Africa,Sub-Saharan Africa,Central African Republic,Bangui,UN,926
Africa,Sub-Saharan Africa,Central African Republic,Bangui,UN WOMEN,1
Africa,Sub-Saharan Africa,Central African Republic,Bangui,UNAIDS,4
Africa,Sub-Saharan Africa,Central African Republic,Bangui,UNDP,78
Africa,Sub-Saharan Africa,Central African Republic,Bangui,UNFPA,19
Africa,Sub-Saharan Africa,Central African Republic,Bangui,UNHCR,59
Africa,Sub-Saharan Africa,Central African Republic,Bangui,UNICEF,89
Africa,Sub-Saharan Africa,Central African Republic,Bangui,UNOPS,2
Africa,Sub-Saharan Africa,Central African Republic,Bangui,WFP,74
Africa,Sub-Saharan Africa,Central African Republic,Bangui,WHO,35
Africa,Sub-Saharan Africa,Central African Republic,Berberati,UN,27
Africa,Sub-Saharan Africa,Central African Republic,Berberati,UNHCR,8
Africa,Sub-Saharan Africa,Central African Republic,Birao,UN,14
Africa,Sub-Saharan Africa,Central African Republic,Bossangoa,UN,37
Africa,Sub-Saharan Africa,Central African Republic,Bossangoa,UNICEF,12
Africa,Sub-Saharan Africa,Central African Republic,Bossangoa,WFP,3
Africa,Sub-Saharan Africa,Central African Republic,Bouar,UN,64
Africa,Sub-Saharan Africa,Central African Republic,Bouar,UNHCR,16
Africa,Sub-Saharan Africa,Central African Republic,Bouar,UNICEF,10
Africa,Sub-Saharan Africa,Central African Republic,Bouar,WFP,2
Africa,Sub-Saharan Africa,Central African Republic,Bozoum,UN,1
Africa,Sub-Saharan Africa,Central African Republic,Bria,UN,47
Africa,Sub-Saharan Africa,Central African Republic,Bria,UNDP,1
Africa,Sub-Saharan Africa,Central African Republic,Bria,UNHCR,1
Africa,Sub-Saharan Africa,Central African Republic,Bria,WFP,1
Africa,Sub-Saharan Africa,Central African Republic,Kaga Bandoro,UN,67
Africa,Sub-Saharan Africa,Central African Republic,Kaga Bandoro,UNDP,2
Africa,Sub-Saharan Africa,Central African Republic,Kaga Bandoro,UNHCR,10
Africa,Sub-Saharan Africa,Central African Republic,Kaga Bandoro,UNICEF,10
Africa,Sub-Saharan Africa,Central African Republic,Kaga Bandoro,WFP,6
Africa,Sub-Saharan Africa,Central African Republic,Mboki,UN,2
Africa,Sub-Saharan Africa,Central African Republic,Ndele,UN,19
Africa,Sub-Saharan Africa,Central African Republic,Ndele,UNDP,2
Africa,Sub-Saharan Africa,Central African Republic,Obo,UN,19
Africa,Sub-Saharan Africa,Central African Republic,Obo,UNHCR,6
Africa,Sub-Saharan Africa,Central African Republic,Paoua,UN,24
Africa,Sub-Saharan Africa,Central African Republic,Paoua,UNHCR,11
Africa,Sub-Saharan Africa,Central African Republic,Paoua,WFP,5
Africa,Sub-Saharan Africa,Chad,Abeche,UN,5
Africa,Sub-Saharan Africa,Chad,Abeche,UNFPA,4
Africa,Sub-Saharan Africa,Chad,Abeche,UNHCR,6
Africa,Sub-Saharan Africa,Chad,Abeche,UNICEF,14
Africa,Sub-Saharan Africa,Chad,Abeche,WFP,19
Africa,Sub-Saharan Africa,Chad,Abeche,WHO,2
Africa,Sub-Saharan Africa,Chad,Amdjarass,UNHCR,12
Africa,Sub-Saharan Africa,Chad,Ati,WFP,3
Africa,Sub-Saharan Africa,Chad,Baga Sola,UN,3
Africa,Sub-Saharan Africa,Chad,Baga Sola,UNHCR,16
Africa,Sub-Saharan Africa,Chad,Baga Sola,WFP,9
Africa,Sub-Saharan Africa,Chad,Bol,UNDP,2
Africa,Sub-Saharan Africa,Chad,Bol,UNICEF,11
Africa,Sub-Saharan Africa,Chad,Bol,WFP,9
Africa,Sub-Saharan Africa,Chad,Bol,WHO,1
Africa,Sub-Saharan Africa,Chad,Farchana,UN,1
Africa,Sub-Saharan Africa,Chad,Farchana,UNHCR,31
Africa,Sub-Saharan Africa,Chad,Farchana,WFP,7
Africa,Sub-Saharan Africa,Chad,Gore,UN,1
Africa,Sub-Saharan Africa,Chad,Gore,UNHCR,37
Africa,Sub-Saharan Africa,Chad,Gore,WFP,5
Africa,Sub-Saharan Africa,Chad,Goz Beida,UN,2
Africa,Sub-Saharan Africa,Chad,Goz Beida,UNHCR,20
Africa,Sub-Saharan Africa,Chad,Goz Beida,WFP,4
Africa,Sub-Saharan Africa,Chad,Guereda,UNHCR,16
Africa,Sub-Saharan Africa,Chad,Guereda,WFP,2
Africa,Sub-Saharan Africa,Chad,Haraze,UNHCR,7
Africa,Sub-Saharan Africa,Chad,Iriba,UNHCR,27
Africa,Sub-Saharan Africa,Chad,Iriba,WFP,5
Africa,Sub-Saharan Africa,Chad,Koukou,UN,2
Africa,Sub-Saharan Africa,Chad,Mao,WFP,5
Africa,Sub-Saharan Africa,Chad,Maro,UNHCR,12
Africa,Sub-Saharan Africa,Chad,Moissala,UNHCR,9
Africa,Sub-Saharan Africa,Chad,Mongo,UNICEF,10
Africa,Sub-Saharan Africa,Chad,Mongo,WFP,11
Africa,Sub-Saharan Africa,Chad,Moundou,UNICEF,16
Africa,Sub-Saharan Africa,Chad,Moundou,WFP,1
Africa,Sub-Saharan Africa,Chad,Moussoro,IOM,1
