region,subregion,iso3,country,city,org,year,total_sum_count
Africa,Northern Africa,MAR,Morocco,Rabat,IFAD,2022,1
Africa,Northern Africa,MAR,Morocco,Rabat,ILO,2022,16
Africa,Northern Africa,MAR,Morocco,Rabat,IOM,2022,42
Africa,Northern Africa,MAR,Morocco,Rabat,UN,2022,40
Africa,Northern Africa,MAR,Morocco,Rabat,UN WOMEN,2022,11
Africa,Northern Africa,MAR,Morocco,Rabat,UNAIDS,2022,3
Africa,Northern Africa,MAR,Morocco,Rabat,UNDP,2022,27
Africa,Northern Africa,MAR,Morocco,Rabat,UNESCO,2022,14
Africa,Northern Africa,MAR,Morocco,Rabat,UNFPA,2022,14
Africa,Northern Africa,MAR,Morocco,Rabat,UNHCR,2022,24
Africa,Northern Africa,MAR,Morocco,Rabat,UNICEF,2022,38
Africa,Northern Africa,MAR,Morocco,Rabat,UNIDO,2022,4
Africa,Northern Africa,MAR,Morocco,Rabat,WHO,2022,13
Africa,Northern Africa,MAR,Morocco,Tangier,IOM,2022,23
Africa,Northern Africa,MAR,Morocco,Tetouan,IOM,2022,10
Africa,Northern Africa,SDN,Sudan,Abu Jubayhah,UNHCR,2022,2
Africa,Northern Africa,SDN,Sudan,Abyei,IOM,2022,2
Africa,Northern Africa,SDN,Sudan,Abyei,UN,2022,213
Africa,Northern Africa,SDN,Sudan,Abyei,UNOPS,2022,5
Africa,Northern Africa,SDN,Sudan,Ad Damazin,WFP,2022,12
Africa,Northern Africa,SDN,Sudan,Damazine,UN,2022,4
Africa,Northern Africa,SDN,Sudan,Damazine,UNHCR,2022,24
Africa,Northern Africa,SDN,Sudan,Damazine,UNICEF,2022,18
Africa,Northern Africa,SDN,Sudan,Damazine,WHO,2022,1
Africa,Northern Africa,SDN,Sudan,Doka,UNHCR,2022,13
Africa,Northern Africa,SDN,Sudan,Ed Daein,ILO,2022,1
Africa,Northern Africa,SDN,Sudan,Ed Daein,UN,2022,1
Africa,Northern Africa,SDN,Sudan,Ed Daein,UNHCR,2022,25
Africa,Northern Africa,SDN,Sudan,Ed Daein,UNICEF,2022,8
Africa,Northern Africa,SDN,Sudan,Ed Daein,WFP,2022,16
Africa,Northern Africa,SDN,Sudan,El Fasher,FAO,2022,2
Africa,Northern Africa,SDN,Sudan,El Fasher,IOM,2022,1
Africa,Northern Africa,SDN,Sudan,El Fasher,UN,2022,45
Africa,Northern Africa,SDN,Sudan,El Fasher,UNDP,2022,7
Africa,Northern Africa,SDN,Sudan,El Fasher,UNHCR,2022,40
Africa,Northern Africa,SDN,Sudan,El Fasher,UNICEF,2022,26
Africa,Northern Africa,SDN,Sudan,El Fasher,WFP,2022,104
Africa,Northern Africa,SDN,Sudan,El Fasher,WHO,2022,2
Africa,Northern Africa,SDN,Sudan,El Fula,ILO,2022,1
Africa,Northern Africa,SDN,Sudan,El Fula,UNHCR,2022,16
Africa,Northern Africa,SDN,Sudan,El Fula,UNICEF,2022,5
Africa,Northern Africa,SDN,Sudan,El Fula,WFP,2022,9
Africa,Northern Africa,SDN,Sudan,El Gedaref,IOM,2022,3
Africa,Northern Africa,SDN,Sudan,El Gedaref,UNHCR,2022,60
Africa,Northern Africa,SDN,Sudan,El Gedaref,WFP,2022,2
Africa,Northern Africa,SDN,Sudan,El Geneina,UN,2022,10
Africa,Northern Africa,SDN,Sudan,El Geneina,UNDP,2022,2
Africa,Northern Africa,SDN,Sudan,El Geneina,UNHCR,2022,19
Africa,Northern Africa,SDN,Sudan,El Geneina,UNICEF,2022,19
Africa,Northern Africa,SDN,Sudan,El Geneina,WFP,2022,105
Africa,Northern Africa,SDN,Sudan,El Geneina,WHO,2022,1
Africa,Northern Africa,SDN,Sudan,El-Obeid,ILO,2022,2
Africa,Northern Africa,SDN,Sudan,El-Obeid,UNHCR,2022,6
Africa,Northern Africa,SDN,Sudan,El-Obeid,WFP,2022,93
Africa,Northern Africa,SDN,Sudan,Geneina,IOM,2022,1
Africa,Northern Africa,SDN,Sudan,Golo,UN,2022,1
Africa,Northern Africa,SDN,Sudan,Kadugli,UN,2022,57
Africa,Northern Africa,SDN,Sudan,Kadugli,UNDP,2022,1
Africa,Northern Africa,SDN,Sudan,Kadugli,UNHCR,2022,18
Africa,Northern Africa,SDN,Sudan,Kadugli,UNICEF,2022,23
Africa,Northern Africa,SDN,Sudan,Kadugli,WFP,2022,23
Africa,Northern Africa,SDN,Sudan,Kadugli,WHO,2022,1
Africa,Northern Africa,SDN,Sudan,Kassala,IOM,2022,1
Africa,Northern Africa,SDN,Sudan,Kassala,UN,2022,8
Africa,Northern Africa,SDN,Sudan,Kassala,UNDP,2022,1
Africa,Northern Africa,SDN,Sudan,Kassala,UNHCR,2022,39
Africa,Northern Africa,SDN,Sudan,Kassala,UNICEF,2022,23
Africa,Northern Africa,SDN,Sudan,Kassala,WFP,2022,46
Africa,Northern Africa,SDN,Sudan,Kassala,WHO,2022,1
Africa,Northern Africa,SDN,Sudan,Kauda,WFP,2022,1
Africa,Northern Africa,SDN,Sudan,Khartoum,FAO,2022,13
Africa,Northern Africa,SDN,Sudan,Khartoum,IFAD,2022,3
Africa,Northern Africa,SDN,Sudan,Khartoum,ILO,2022,13
Africa,Northern Africa,SDN,Sudan,Khartoum,IOM,2022,70
Africa,Northern Africa,SDN,Sudan,Khartoum,UN,2022,214
Africa,Northern Africa,SDN,Sudan,Khartoum,UN WOMEN,2022,5
Africa,Northern Africa,SDN,Sudan,Khartoum,UNAIDS,2022,1
Africa,Northern Africa,SDN,Sudan,Khartoum,UNDP,2022,83
Africa,Northern Africa,SDN,Sudan,Khartoum,UNESCO,2022,7
Africa,Northern Africa,SDN,Sudan,Khartoum,UNFPA,2022,24
Africa,Northern Africa,SDN,Sudan,Khartoum,UNHCR,2022,117
Africa,Northern Africa,SDN,Sudan,Khartoum,UNICEF,2022,135
Africa,Northern Africa,SDN,Sudan,Khartoum,UNIDO,2022,3
Africa,Northern Africa,SDN,Sudan,Khartoum,UNOPS,2022,1
Africa,Northern Africa,SDN,Sudan,Khartoum,WFP,2022,294
Africa,Northern Africa,SDN,Sudan,Khartoum,WHO,2022,54
Africa,Northern Africa,SDN,Sudan,Khashm El Girba,UNHCR,2022,14
Africa,Northern Africa,SDN,Sudan,Kosti,ILO,2022,2
Africa,Northern Africa,SDN,Sudan,Kosti,UNHCR,2022,37
Africa,Northern Africa,SDN,Sudan,Kosti,UNICEF,2022,5
Africa,Northern Africa,SDN,Sudan,Kosti,WFP,2022,41
Africa,Northern Africa,SDN,Sudan,Kutum,WFP,2022,11
Africa,Northern Africa,SDN,Sudan,Nyala,IOM,2022,1
Africa,Northern Africa,SDN,Sudan,Nyala,UN,2022,9
Africa,Northern Africa,SDN,Sudan,Nyala,UNDP,2022,3
Africa,Northern Africa,SDN,Sudan,Nyala,UNHCR,2022,24
Africa,Northern Africa,SDN,Sudan,Nyala,UNICEF,2022,26
Africa,Northern Africa,SDN,Sudan,Nyala,WFP,2022,104
Africa,Northern Africa,SDN,Sudan,Nyala,WHO,2022,2
Africa,Northern Africa,SDN,Sudan,Port Sudan,UN,2022,2
Africa,Northern Africa,SDN,Sudan,Port Sudan,UNICEF,2022,4
Africa,Northern Africa,SDN,Sudan,Port Sudan,WFP,2022,46
Africa,Northern Africa,SDN,Sudan,Zalingei,IOM,2022,1
Africa,Northern Africa,SDN,Sudan,Zalingei,UN,2022,3
Africa,Northern Africa,SDN,Sudan,Zalingei,UNHCR,2022,13
Africa,Northern Africa,SDN,Sudan,Zalingei,UNICEF,2022,12
Africa,Northern Africa,SDN,Sudan,Zalingei,WFP,2022,21
Africa,Northern Africa,TUN,Tunisia,Beja,ILO,2022,1
Africa,Northern Africa,TUN,Tunisia,Gabes,ILO,2022,1
Africa,Northern Africa,TUN,Tunisia,Gafsa,ILO,2022,1
Africa,Northern Africa,TUN,Tunisia,Jendouba,ILO,2022,3
Africa,Northern Africa,TUN,Tunisia,Kairouan,ILO,2022,1
Africa,Northern Africa,TUN,Tunisia,Kasserine,ILO,2022,2
Africa,Northern Africa,TUN,Tunisia,Other,ILO,2022,1
Africa,Northern Africa,TUN,Tunisia,Sfax,IOM,2022,2
Africa,Northern Africa,TUN,Tunisia,Sousse,ILO,2022,1
Africa,Northern Africa,TUN,Tunisia,Tataouine,ILO,2022,1
Africa,Northern Africa,TUN,Tunisia,Tunis,FAO,2022,21
Africa,Northern Africa,TUN,Tunisia,Tunis,ILO,2022,40
Africa,Northern Africa,TUN,Tunisia,Tunis,IOM,2022,67
Africa,Northern Africa,TUN,Tunisia,Tunis,UN,2022,57
Africa,Northern Africa,TUN,Tunisia,Tunis,UN WOMEN,2022,3
Africa,Northern Africa,TUN,Tunisia,Tunis,UNAIDS,2022,1
Africa,Northern Africa,TUN,Tunisia,Tunis,UNDP,2022,35
Africa,Northern Africa,TUN,Tunisia,Tunis,UNFPA,2022,12
Africa,Northern Africa,TUN,Tunisia,Tunis,UNHCR,2022,34
Africa,Northern Africa,TUN,Tunisia,Tunis,UNICEF,2022,38
Africa,Northern Africa,TUN,Tunisia,Tunis,UNIDO,2022,2
Africa,Northern Africa,TUN,Tunisia,Tunis,UNOPS,2022,3
Africa,Northern Africa,TUN,Tunisia,Tunis,WFP,2022,12
Africa,Northern Africa,TUN,Tunisia,Tunis,WHO,2022,56
Africa,Northern Africa,TUN,Tunisia,Zarzis,IOM,2022,3
Africa,Northern Africa,TUN,Tunisia,Zarzis,UNDP,2022,1
Africa,Northern Africa,TUN,Tunisia,Zarzis,UNHCR,2022,4
Africa,Sub-Saharan Africa,AGO,Angola,Benguela,UNDP,2022,1
Africa,Sub-Saharan Africa,AGO,Angola,Dundo,UNHCR,2022,14
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,FAO,2022,10
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,ICAO,2022,1
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,IFAD,2022,2
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,ILO,2022,2
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,IOM,2022,2
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,UN,2022,15
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,UNAIDS,2022,4
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,UNDP,2022,29
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,UNESCO,2022,1
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,UNFPA,2022,13
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,UNHCR,2022,16
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,UNICEF,2022,48
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,WFP,2022,4
Africa,Sub-Saharan Africa,AGO,Angola,Luanda,WHO,2022,42
Africa,Sub-Saharan Africa,AGO,Angola,Lubango,UNICEF,2022,2
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,FAO,2022,8
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,IFAD,2022,1
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,ILO,2022,1
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,IOM,2022,85
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,UN,2022,19
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,UN WOMEN,2022,5
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,UNAIDS,2022,4
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,UNDP,2022,54
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,UNESCO,2022,2
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,UNFPA,2022,23
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,UNHCR,2022,51
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,UNICEF,2022,92
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,WFP,2022,78
Africa,Sub-Saharan Africa,BDI,Burundi,Bujumbura,WHO,2022,37
Africa,Sub-Saharan Africa,BDI,Burundi,Gitega,IOM,2022,5
Africa,Sub-Saharan Africa,BDI,Burundi,Gitega,UNDP,2022,2
Africa,Sub-Saharan Africa,BDI,Burundi,Gitega,WFP,2022,12
Africa,Sub-Saharan Africa,BDI,Burundi,Makamba,IOM,2022,1
Africa,Sub-Saharan Africa,BDI,Burundi,Makamba,UNDP,2022,1
Africa,Sub-Saharan Africa,BDI,Burundi,Makamba,UNHCR,2022,14
Africa,Sub-Saharan Africa,BDI,Burundi,Muyinga,IOM,2022,4
Africa,Sub-Saharan Africa,BDI,Burundi,Muyinga,UNHCR,2022,23
Africa,Sub-Saharan Africa,BDI,Burundi,Ngozi,UNDP,2022,1
Africa,Sub-Saharan Africa,BDI,Burundi,Ngozi,WFP,2022,29
Africa,Sub-Saharan Africa,BDI,Burundi,Rutana,IOM,2022,1
Africa,Sub-Saharan Africa,BDI,Burundi,Ruyigi,IOM,2022,3
Africa,Sub-Saharan Africa,BDI,Burundi,Ruyigi,UNDP,2022,1
Africa,Sub-Saharan Africa,BDI,Burundi,Ruyigi,UNHCR,2022,30
Africa,Sub-Saharan Africa,BDI,Burundi,Ruyigi,UNICEF,2022,2
Africa,Sub-Saharan Africa,BEN,Benin,Bohicon,WFP,2022,2
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,FAO,2022,7
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,IOM,2022,9
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,UN,2022,11
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,UNAIDS,2022,3
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,UNDP,2022,38
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,UNESCO,2022,3
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,UNFPA,2022,29
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,UNHCR,2022,1
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,UNICEF,2022,70
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,WFP,2022,32
Africa,Sub-Saharan Africa,BEN,Benin,Cotonou,WHO,2022,26
Africa,Sub-Saharan Africa,BEN,Benin,Natitingou,UNICEF,2022,1
Africa,Sub-Saharan Africa,BEN,Benin,Parakou,UNICEF,2022,12
Africa,Sub-Saharan Africa,BEN,Benin,Parakou,WFP,2022,4
Africa,Sub-Saharan Africa,BEN,Benin,Porto Novo,WFP,2022,1
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Bobo-Dioulasso,UNDP,2022,1
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Bobo-Dioulasso,UNHCR,2022,9
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Dori,UN,2022,1
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Dori,UNDP,2022,2
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Dori,UNHCR,2022,23
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Dori,UNICEF,2022,12
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Dori,WFP,2022,13
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Fada Ngourma,UNDP,2022,1
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Fada Ngourma,UNHCR,2022,8
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Fada Ngourma,UNICEF,2022,9
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Fada Ngourma,WFP,2022,1
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Kaya,UNDP,2022,1
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Kaya,UNHCR,2022,28
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Kaya,UNICEF,2022,9
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Kaya,WFP,2022,6
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,FAO,2022,10
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,IFAD,2022,2
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,ILO,2022,5
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,IOM,2022,11
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,ITC,2022,1
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,UN,2022,33
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,UNAIDS,2022,4
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,UNDP,2022,44
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,UNESCO,2022,2
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,UNFPA,2022,29
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,UNHCR,2022,67
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,UNICEF,2022,113
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,WFP,2022,89
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouagadougou,WHO,2022,73
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouahigouya,UNDP,2022,1
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouahigouya,UNHCR,2022,10
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Ouahigouya,WFP,2022,2
Africa,Sub-Saharan Africa,BFA,Burkina Faso,Tenkodogo,IOM,2022,2
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,FAO,2022,4
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,ILO,2022,1
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,UN,2022,11
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,UNAIDS,2022,6
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,UNDP,2022,21
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,UNESCO,2022,1
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,UNFPA,2022,8
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,UNICEF,2022,21
Africa,Sub-Saharan Africa,BWA,Botswana,Gaborone,WHO,2022,14
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bambari,UN,2022,43
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bambari,UNDP,2022,2
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bambari,UNHCR,2022,11
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bambari,UNICEF,2022,11
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bambari,WFP,2022,11
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bambari,WHO,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangassou,UN,2022,30
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangassou,UNHCR,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangassou,WFP,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,FAO,2022,10
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,ILO,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,IOM,2022,2
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,ITC,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,UN,2022,878
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,UN WOMEN,2022,2
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,UNAIDS,2022,4
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,UNDP,2022,70
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,UNFPA,2022,18
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,UNHCR,2022,56
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,UNICEF,2022,113
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,UNOPS,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,WFP,2022,115
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bangui,WHO,2022,36
Africa,Sub-Saharan Africa,CAF,Central African Republic,Berberati,UN,2022,24
Africa,Sub-Saharan Africa,CAF,Central African Republic,Berberati,UNHCR,2022,8
Africa,Sub-Saharan Africa,CAF,Central African Republic,Birao,UN,2022,15
Africa,Sub-Saharan Africa,CAF,Central African Republic,Birao,WFP,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bossangoa,UN,2022,35
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bossangoa,UNICEF,2022,10
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bossangoa,WFP,2022,7
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bouar,UN,2022,56
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bouar,UNHCR,2022,14
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bouar,UNICEF,2022,10
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bouar,WFP,2022,3
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bria,UN,2022,47
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bria,UNDP,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bria,UNHCR,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Bria,WFP,2022,2
Africa,Sub-Saharan Africa,CAF,Central African Republic,Kaga Bandoro,UN,2022,62
Africa,Sub-Saharan Africa,CAF,Central African Republic,Kaga Bandoro,UNDP,2022,2
Africa,Sub-Saharan Africa,CAF,Central African Republic,Kaga Bandoro,UNHCR,2022,11
Africa,Sub-Saharan Africa,CAF,Central African Republic,Kaga Bandoro,UNICEF,2022,12
Africa,Sub-Saharan Africa,CAF,Central African Republic,Kaga Bandoro,WFP,2022,6
Africa,Sub-Saharan Africa,CAF,Central African Republic,Ndele,UN,2022,46
Africa,Sub-Saharan Africa,CAF,Central African Republic,Ndele,UNDP,2022,1
Africa,Sub-Saharan Africa,CAF,Central African Republic,Obo,UN,2022,15
Africa,Sub-Saharan Africa,CAF,Central African Republic,Obo,UNHCR,2022,8
Africa,Sub-Saharan Africa,CAF,Central African Republic,Paoua,UN,2022,21
Africa,Sub-Saharan Africa,CAF,Central African Republic,Paoua,UNHCR,2022,9
Africa,Sub-Saharan Africa,CAF,Central African Republic,Paoua,WFP,2022,10
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,FAO,2022,7
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,IFAD,2022,28
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,ILO,2022,68
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,IOM,2022,13
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UN,2022,17
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UN WOMEN,2022,5
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UNAIDS,2022,8
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UNDP,2022,35
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UNESCO,2022,11
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UNFPA,2022,22
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UNHCR,2022,34
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UNICEF,2022,97
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,UNIDO,2022,4
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,WFP,2022,39
Africa,Sub-Saharan Africa,CIV,Ivory Coast,Abidjan,WHO,2022,34
